0,1,204.019438743591,,temps moyen,success Rate
1,1,203.211318969727,,219.440521732966,0.966666666666667
2,1,202.453245639801,,,
3,1,201.696943998337,,,
4,1,104.382766485214,,,
5,1,103.495929002762,,,
6,1,300.137828350067,,,
7,1,104.078364610672,,,
8,1,202.572377681732,,,
9,1,201.815085172653,,,
10,1,399.704238653183,,,
11,1,400.861430406571,,,
12,1,104.480073451996,,,
13,1,202.873825550079,,,
14,1,202.965291976929,,,
15,1,200.819147825241,,,
16,1,302.868183135986,,,
17,1,202.606909990311,,,
18,0.5,401.593118667603,,,
19,1,203.224459648132,,,
20,1,202.59824347496,,,
21,1,202.164859771729,,,
22,1,302.31288933754,,,
23,1,203.255311727524,,,
24,1,302.089769124985,,,
25,1,103.968641042709,,,
26,1,303.042584180832,,,
27,1,205.161365032196,,,
28,1,203.929716348648,,,
29,1,104.832293987274,,,
